,Algorithms,n=100,n=200,n=400,n=800,n=1000,n=2000
0,Selection,1.0278800000000001,2.43024,11.68866,31.5811,52.9883,197.63414
1,Insertion,0.6595,2.96706,11.34764,34.6818,45.34594,172.22292000000002
2,Merge,0.3614,1.19834,2.4497,2.99998,4.805619999999999,9.2753
3,Quick,0.1757,0.48332,0.90238,1.76406,2.02156,0.48332
4,Bubble,0.94478,4.86338,16.7198,52.16522,88.8023,343.91790000000003
5,Optimal Bubble,0.017159999999999998,0.0396,0.07686,0.09268,0.13763999999999998,0.25278
6,General-Counting,0.10118,0.17862,0.30612,0.41588,0.69562,1.06846
7,Heap,0.45264,1.30866,2.48022,3.7643,6.4826999999999995,10.18252
