,Algorithms,n=100,n=200,n=400,n=800,n=1000,n=2000
0,Selection,0.4523,1.9436,13.0031,47.5018,71.2636,244.8745
1,Insertion,0.4504,1.8694,9.5317,40.8523,67.5983,166.8615
2,Merge,0.3047,0.7889,2.054,4.1103,5.933,6.8901
3,Quick,0.1223,0.5054,0.8056,1.9538,2.8644,3.4091
4,Bubble,0.7079,5.3573,20.0291,76.6532,103.4586,266.3174
5,Optimal Bubble,0.0179,0.0317,0.0522,0.1659,0.2248,0.1738
6,General-Counting,0.0544,0.1197,0.268,1.0223,0.6027,0.6862
7,Heap,0.2964,1.7915,2.125,8.5733,6.5007,8.0857
