Sorting Algorith Name,Array Length,Num. of Comparisons,Run Time
optimal_bubble_sort,1000,999,0.0968
heap_sort,1000,7341,4.3404
general_count_sort,1000,0,0.3781
selection_sort,2000,1999000,148.5214
insertion_sort,2000,996603,149.1663
merge_sort,2000,21952,7.0179
quick_sort,2000,1999,3.8428
bubble_sort,2000,1999000,284.9121
optimal_bubble_sort,2000,1999,0.1862
heap_sort,2000,15938,9.1851
general_count_sort,2000,0,0.7141
selection_sort,100,4950,0.3545
insertion_sort,100,2382,0.2894
merge_sort,100,672,0.2222
quick_sort,100,99,0.107
bubble_sort,100,4950,0.6025
optimal_bubble_sort,100,99,0.01
heap_sort,100,465,0.2823
general_count_sort,100,0,0.047
selection_sort,200,19900,1.348
insertion_sort,200,9617,1.1644
merge_sort,200,1544,0.4787
quick_sort,200,199,0.2193
bubble_sort,200,19900,2.3766
optimal_bubble_sort,200,199,0.0172
heap_sort,200,1108,0.5817
general_count_sort,200,0,0.0799
selection_sort,400,79800,5.6748
insertion_sort,400,40245,5.1546
merge_sort,400,3488,1.0488
quick_sort,400,399,0.4883
bubble_sort,400,79800,10.011
optimal_bubble_sort,400,399,0.0331
heap_sort,400,2551,1.3006
general_count_sort,400,0,0.1466
selection_sort,800,319600,22.3293
insertion_sort,800,160007,22.3582
merge_sort,800,7776,2.4824
quick_sort,800,799,1.1835
bubble_sort,800,319600,49.1822
optimal_bubble_sort,800,799,0.0806
heap_sort,800,5882,3.7923
general_count_sort,800,0,0.4621
selection_sort,1000,499500,41.9719
insertion_sort,1000,258635,38.4018
merge_sort,1000,9976,3.3257
quick_sort,1000,999,2.0919
bubble_sort,1000,499500,74.3716
optimal_bubble_sort,1000,999,0.124
heap_sort,1000,7284,3.9566
general_count_sort,1000,0,0.3726
selection_sort,2000,1999000,151.1962
insertion_sort,2000,992399,143.6734
merge_sort,2000,21952,6.547
quick_sort,2000,1999,3.5405
bubble_sort,2000,1999000,283.6194
optimal_bubble_sort,2000,1999,0.1709
heap_sort,2000,15854,7.7789
general_count_sort,2000,0,0.6795
selection_sort,100,4950,0.3588
insertion_sort,100,2675,0.329
merge_sort,100,672,0.2561
quick_sort,100,99,0.114
bubble_sort,100,4950,0.6251
optimal_bubble_sort,100,99,0.0105
heap_sort,100,459,0.2728
general_count_sort,100,0,0.0513
selection_sort,200,19900,1.3518
insertion_sort,200,10157,1.2307
merge_sort,200,1544,0.5538
quick_sort,200,199,0.2158
bubble_sort,200,19900,2.413
optimal_bubble_sort,200,199,0.0176
heap_sort,200,1107,0.5937
general_count_sort,200,0,0.0775
selection_sort,400,79800,5.4719
insertion_sort,400,41589,5.2118
merge_sort,400,3488,2.171
quick_sort,400,399,0.5333
bubble_sort,400,79800,10.3521
optimal_bubble_sort,400,399,0.0353
heap_sort,400,2547,1.3011
general_count_sort,400,0,0.1469
selection_sort,800,319600,22.7568
insertion_sort,800,157079,22.6901
merge_sort,800,7776,2.3406
quick_sort,800,799,1.6448
bubble_sort,800,319600,45.0909
