,Algorithms,n=100,n=200,n=400,n=800,n=1000,n=2000
0,Selection,0.6123,2.069,8.431,29.6216,43.4332,148.221
1,Insertion,0.5348,2.1,7.3578,25.0661,37.9241,160.2304
2,Merge,0.3681,0.7808,1.6356,2.8524,3.1202,6.9489
3,Quick,0.1323,0.4642,0.6986,1.4167,1.8594,3.8559
4,Bubble,0.7861,3.2141,13.1981,46.7732,67.9166,282.0497
5,Optimal Bubble,0.0176,0.0257,0.041,0.0842,0.0863,0.2518
6,General-Counting,0.1202,0.1597,0.1874,0.3712,0.3889,0.8676
7,Heap,0.4783,1.3027,1.6065,3.2701,3.8233,8.4741
